First Name,Last Name,Gender,Email,Mobile,Phone,Fax,Street,Suburb,State,Postcode,Country,Invite Again,Age Value,Ethnicity,Occupation,Brand Segment,Optional 1,Optional 2,Optional 3,Optional 4,Optional 5
Jack,Porter,Male,ec7.247@gmail.com,61403290248,,,,,,,,Yes,,,,,,,,,
Daniel,Grayson,Male,ec72.47@gmail.com,61403290248,,,,,,,,Yes,,,,,,,,,
Stewie,Griffen,Male,ec724.7@gmail.com,61403290248,,,,,,,,Yes,,,,,,,,,
MsC,test,Female,j.udycelmins@gmail.com,61403290371,,,,,,,,Yes,,,,,,,,,
MsE,Test,Female,ju.dycelmins@gmail.com,61403290371,,,,,,,,Yes,,,,,,,,,
MsF,Test,Female,jud.ycelmins@gmail.com,61403290371,,,,,,,,Yes,,,,,,,,,
MsG,Test,Female,judyc.elmins@gmail.com,61403290371,,,,,,,,Yes,,,,,,,,,
MsH,Test,Female,judyce.lmins@gmail.com,61403290371,,,,,,,,Yes,,,,,,,,,
MsJ,Test,Female,judycel.mins@gmail.com,61403290371,,,,,,,,Yes,,,,,,,,,
MsK,Test,Female,judycelm.ins@gmail.com,61403290371,,,,,,,,Yes,,,,,,,,,
